iter	Logloss	Accuracy
0	0.6931228333	0.7687296417
1	0.693093691	0.7768729642
2	0.6930667378	0.7866449511
3	0.6930390097	0.7850162866
4	0.6930149854	0.7882736156
5	0.6929901333	0.7931596091
6	0.69296477	0.7980456026
7	0.6929383545	0.7964169381
8	0.6929132927	0.7947882736
9	0.6928910747	0.7947882736
10	0.6928630031	0.7980456026
11	0.6928354167	0.7915309446
12	0.6928122434	0.7899022801
13	0.6927859274	0.7882736156
14	0.6927601543	0.7882736156
15	0.6927324279	0.7915309446
16	0.6927065449	0.7931596091
17	0.692682409	0.7915309446
18	0.6926551354	0.7915309446
19	0.6926274268	0.7915309446
20	0.6926041781	0.7931596091
21	0.692580015	0.7964169381
22	0.6925564616	0.7947882736
23	0.6925302435	0.7915309446
24	0.6925063788	0.7931596091
25	0.6924814063	0.7866449511
26	0.6924560191	0.7882736156
27	0.6924325339	0.7850162866
28	0.6924054545	0.7882736156
29	0.6923770653	0.7866449511
30	0.6923507039	0.7850162866
31	0.6923257607	0.7833876221
32	0.6923009657	0.7866449511
33	0.6922761178	0.7833876221
34	0.6922497578	0.7866449511
35	0.6922217062	0.7866449511
36	0.6921959881	0.7850162866
37	0.6921711432	0.7850162866
38	0.6921449869	0.7833876221
39	0.6921187173	0.7850162866
40	0.6920948051	0.7866449511
41	0.6920701601	0.7866449511
42	0.6920454389	0.7882736156
43	0.6920217274	0.7833876221
44	0.6919944532	0.7866449511
45	0.691970029	0.7866449511
46	0.6919450689	0.7866449511
47	0.6919184673	0.7866449511
48	0.6918934723	0.7882736156
49	0.6918696674	0.7866449511
