iter	Passed	Remaining
0	175	8596
1	178	4279
2	181	2840
3	184	2123
4	187	1686
5	191	1403
6	194	1192
7	196	1032
8	199	910
9	202	810
10	206	733
11	209	663
12	213	607
13	216	555
14	220	513
15	223	474
16	225	438
17	229	407
18	232	380
19	236	355
20	239	330
21	242	309
22	245	288
23	250	271
24	253	253
25	256	236
26	259	221
27	262	206
28	266	193
29	269	179
30	271	166
31	275	155
32	280	144
33	283	133
34	285	122
35	289	112
36	292	102
37	296	93
38	299	84
39	302	75
40	305	67
41	309	58
42	310	50
43	313	42
44	316	35
45	319	27
46	323	20
47	326	13
48	329	6
49	332	0
